Longitude (x),Latitude (y),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Available_Water_Storage_mm_m,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,tcco2_column,nuevos1_co2_1000hPa,nuevos1_co_1000hPa,fco2gpp_flux,cape_geop_conv,surf_geop_z,geop_z_1000hPa
-58.0,-35.1,28.325617,148.76834,64.82,9.5680561,73.499641,7.4,150.0,22.392756,499.2983970831098,shield,244.45214255555248,ree,1256.3501791160772,89.50325316055618,3.0,Minerales Industriales,2.54,0.12,-16.5,0.0,Siliciclastic sedimentary rocks,423.6676940917969,0.0006417078548111022,9.233298214894603e-08,0.0,39.71428680419922,208.54092407226562,1021.2085571289062
45.7,39.6,31.807396,-52.357098,83.82,0.85972226,114.96819,6.9,150.0,2734.5369,32.64248172457172,volcanic arc,43.67402081838339,porcu,31.39907288440208,41.57517641030031,2.0,Compuestos Químicos y Subproductos,4.07,0.09,-12.5,0.2884680231979971,Acid plutonic rocks,422.6824645996094,0.0006563107017427683,1.6031425786877662e-07,0.0,7.985118865966797,23448.541015625,2067.178955078125
143.8,-37.5,48.634987,149.63173,107.19,7.1104169,76.62188,7.025,15.0,440.25925,4.936790783076792,orogenic belt,88.1384734381067,nicrpge,147.37941138435988,57.23817588782727,3.0,Metales Base,4.57,0.09,-12.5,0.0233961503959467,Siliciclastic sedimentary rocks,424.0101318359375,0.0006405655876733363,7.132972967838214e-08,7.394042995656491e-07,23.264881134033203,4344.54296875,1081.2442626953125
144.8,-36.7,29.815319,143.30722,64.589996,9.010417,40.099411,6.6,150.0,150.01065,8.880707243834898,orogenic belt,83.25,nicrpge,281.5748619816774,45.511467193298685,3.0,Metales Preciosos,6.84,0.19,-15.2,0.0239432995191611,Siliciclastic sedimentary rocks,424.12933349609375,0.0006422861479222775,7.308840110908932e-08,4.3605021460280113e-07,9.244047164916992,1642.539794921875,1030.1304931640625
146.1,-37.5,38.774906,143.89392,91.18,5.6687493,128.39713,5.2,150.0,679.46875,74.72390736378904,orogenic belt,14.214935807100314,nicrpge,400.7222989802284,14.303742062638465,3.0,Compuestos Químicos y Subproductos,54.59,0.19,-15.2,0.038944601390401,Acid plutonic rocks,423.8243713378906,0.0006330879987217486,7.152943481969487e-08,8.043072057262179e-07,5.660714149475098,7588.53857421875,1073.4295654296875
10.1,47.1,30.96203,-25.755209,71.669998,0.023611095,76.020638,5.133333333333334,15.0,1943.5391,142.1048934283341,foredeep basin,94.42252114829368,sedcu,496.250698135528,85.60230325146237,1.0,Desconocido,9.28,0.01,-14.1,0.086894314639846,Carbonate sedimentary rocks,421.50286865234375,0.0006534776766784489,1.4710572315834725e-07,0.0,3.142857074737549,18252.55078125,1822.991455078125
12.9,48.0,30.712904,14.418416,74.150002,4.8743057,108.69929,6.7,100.0,430.91193,76.11346216876572,foredeep basin,162.90648324737114,sedznpb,693.2559861739527,26.9249365677913,2.0,Metales Base,29.58,0.19,-15.2,0.021028086009207,Carbonate sedimentary rocks,421.9502868652344,0.0006784352008253336,3.1823077506487607e-07,0.0,4.529761791229248,4380.54296875,1878.7928466796875
13.3,47.0,23.502779,-42.960648,58.02,-1.7637681,31.365515,5.0,15.0,2469.843,48.96052615181055,foredeep basin,55.03182533770781,sedexmvt,585.472208124365,33.06940183939391,2.0,Minerales Estratégicos y Tierras Raras,0.23,0.01,-14.1,0.0859018389172476,Carbonate sedimentary rocks,421.62835693359375,0.0006535584107041359,1.517717436172461e-07,2.8071336366508604e-09,5.125,20424.546875,1845.3531494140625
13.8,47.7,29.439987,2.1758778,65.269997,0.091666669,96.575638,7.1,15.0,1556.2102,98.4666041264504,foredeep basin,115.2370331100208,sedexmvt,670.3871407821157,39.851883932272166,2.0,Metales Base,3.04,0.06,-11.8,0.0453510654448952,Carbonate sedimentary rocks,421.52203369140625,0.0006600854685530066,1.7159344167794188e-07,0.0,3.377976179122925,11874.5419921875,1849.6767578125
14.3,47.1,23.551022,27.035107,55.540001,2.1993055,109.75442,5.2,150.0,1159.8004,53.600034232577535,foredeep basin,84.66615498533052,sedexmvt,618.311126623175,16.29590334650126,2.0,Metales Base,35.57,0.01,-14.1,0.0969079153911395,Metamorphics,421.7780456542969,0.0006712439935654402,2.1538555472488952e-07,0.0,5.81845235824585,11226.541015625,1923.7615966796875
