Longitude (x),Latitude (y),Flux (gm-2d-1),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Available_Water_Storage_mm/m,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,CO2_1000hPa,CO_1000hPa,Geopotential_1000hPa,Flux_CO2_GPP,Total_Column_CO2,Geopotential_Sup_Avg
102.22,28.14,35.86,27.355047,-175.20544,68.989998,7.2763891,48.212265,5.8,2049.2332,48.26520351762368,craton,44.2727264379573,carbonatite,524.2503090127831,20.70782112474675,2.0,Metales Base,150.0,16.355555555555554,0.19,-15.2,0.436824016399599,Mixed sedimentary rocks,0.0006846724427305,3.558815819815209e-07,1493.4471435546875,1.521763124401332e-07,423.9634094238281,19282.548828125
102.22,28.1,56.29,27.355047,-174.44916,68.989998,7.8305564,44.647408,5.05,1899.4171,48.86021634322416,craton,47.87400031593587,carbonatite,521.5263860055392,24.50609887629,2.0,Metales Base,150.0,12.2,0.19,-15.2,0.4170103166655521,Mixed sedimentary rocks,0.0006846724427305,3.558815819815209e-07,1493.4471435546875,1.521763124401332e-07,423.9634094238281,19282.548828125
102.22,28.05,52.48,27.355047,-168.91423,68.153336,7.6958332,45.016727,5.2,1928.8037,50.149813850531565,craton,52.55636408894999,carbonatite,518.1548482837911,29.506985022778988,2.0,Metales Base,150.0,10.28,0.19,-15.2,0.4420425502476109,Mixed sedimentary rocks,0.0006944757769815,4.090732943495823e-07,1437.5274658203125,1.5345548831646738e-07,424.229736328125,16848.548828125
102.21,27.99,73.23,27.355047,-164.94521,65.190002,8.2256947,42.927734,5.1,1780.384,51.42031873564655,craton,57.87285249795726,carbonatite,513.2678888260964,35.3763276999536,2.0,Metales Base,150.0,9.012345679012345,0.22,-13.0,0.4281041856492462,Mixed sedimentary rocks,0.0006944757769815,4.090732943495823e-07,1437.5274658203125,1.5345548831646738e-07,424.229736328125,16848.548828125
102.21,27.94,68.98,24.405727,-159.78828,61.389999,8.8055553,41.965656,6.0,1640.0312,53.91904363962482,craton,62.88918473195788,carbonatite,509.9746387811832,40.70784745641164,2.0,Metales Base,150.0,6.37037037037037,0.22,-13.0,0.4068661532791466,Mixed sedimentary rocks,0.0006888546631671,4.313535555411363e-07,1389.9449462890625,1.4047310514797573e-07,424.5367736816406,16010.5478515625
102.22,27.92,65.25,24.405727,-152.40625,61.389999,9.2777777,41.484386,4.9,1608.2103,55.99367159239814,craton,65.36923363670681,carbonatite,509.5673797448171,43.14241649391568,2.0,Metales Base,150.0,13.9,0.19,-15.2,0.4015711929545078,Mixed sedimentary rocks,0.0006888546631671,4.313535555411363e-07,1389.9449462890625,1.4047310514797573e-07,424.5367736816406,16010.5478515625
102.23,28.63,73.77,34.464928,-200.52306,77.220001,5.9965277,52.204468,4.9,2219.5168,70.20906325392014,craton,10.280408552379484,ree,560.224598620945,32.52646127315464,2.0,Minerales Estratégicos y Tierras Raras,150.0,25.06,0.09,-13.0,0.4181392999792683,Mixed sedimentary rocks,0.0006760419346392,3.312433136670734e-07,1536.828857421875,1.2837629981277132e-07,423.49224853515625,24714.537109375
102.2,29.2,33.5,28.57107,-230.4147,62.439999,5.1006947,66.679619,6.475,2111.7385,73.93572667302016,volcanic arc,57.94370112445362,phosphate,602.3823859476627,33.00973312906684,2.0,Minerales Industriales,75.0,35.82,0.06,-11.8,0.3690132317005491,Mixed sedimentary rocks,0.0006707098800688,2.392636133663473e-07,2011.038330078125,1.3948357491244678e-07,424.5428161621094,22290.54296875
102.24,27.89,77.34,24.405727,-152.39178,61.389999,9.1048613,39.845024,6.9,1580.1597,59.63181888506396,craton,69.32102066653643,carbonatite,509.4307481886014,46.96453084120492,2.0,Metales Base,150.0,8.567901234567902,0.22,-13.0,0.4790852307166046,Mixed sedimentary rocks,0.0006888546631671,4.313535555411363e-07,1389.9449462890625,1.4047310514797573e-07,424.5367736816406,16010.5478515625
102.22,28.02,66.63,27.355047,-168.74623,65.190002,7.8291659,44.831211,5.2,1925.3313,51.19750074100053,craton,55.4426975015674,carbonatite,516.15,32.59295222796654,2.0,Metales Base,150.0,11.82,0.19,-15.2,0.4033863000644991,Mixed sedimentary rocks,0.0006944757769815,4.090732943495823e-07,1437.5274658203125,1.5345548831646738e-07,424.229736328125,16848.548828125
102.26,27.86,112.51,24.405727,-164.8362,57.394997,8.7436619,40.030357,7.9,1610.5034,63.313908335254204,craton,73.27827581384865,carbonatite,509.3255290087069,48.10175399713479,2.0,Metales Base,150.0,21.87012987012987,0.22,-13.0,0.4710785973832714,Mixed sedimentary rocks,0.0006860026041977,3.64119188134282e-07,1391.9024658203125,1.485050660221532e-07,424.7640380859375,16868.548828125
102.27,27.84,59.37,24.405727,-169.39336,57.394997,8.634058,42.02396,7.9,1642.7581,65.4860838657373,craton,75.75975881858666,carbonatite,508.9685894040989,45.63934411229996,2.0,Metales Base,150.0,32.98571428571429,0.22,-13.0,0.4676799498470918,Mixed sedimentary rocks,0.0006957530858926,4.377999971438841e-07,1375.063232421875,1.5530774533090153e-07,424.896240234375,17074.548828125
102.28,27.83,92.92,24.405727,-163.78674,53.400002,8.4338341,42.672756,6.26,1639.2937,67.03269913876892,craton,77.24015863688065,carbonatite,509.2517416759599,44.09959914104535,2.0,Metales Base,150.0,27.408450704225352,0.22,-13.0,0.4676799498470918,Mixed sedimentary rocks,0.0006957530858926,4.377999971438841e-07,1375.063232421875,1.5530774533090153e-07,424.896240234375,17074.548828125
102.29,27.8,26.44,24.405727,-163.19495,53.400002,7.6938934,44.674263,7.4,1714.702,69.89236412399806,craton,80.72282673600147,carbonatite,508.290319600914,40.72167380892981,2.0,Metales Base,150.0,21.879518072289155,0.19,-15.2,0.3823052794021959,Mixed sedimentary rocks,0.0006957530858926,4.377999971438841e-07,1375.063232421875,1.5530774533090153e-07,424.896240234375,17074.548828125
102.31,27.78,66.73,24.405727,-148.69249,53.400002,7.6852937,47.481964,7.4,1851.8461,73.00241441457943,craton,83.68796601812286,carbonatite,508.8911186098642,37.63513444377347,2.0,Metales Base,150.0,21.6,0.19,-15.2,0.3740686127355291,Mixed sedimentary rocks,0.0006957530858926,4.377999971438841e-07,1375.063232421875,1.5530774533090153e-07,424.896240234375,17074.548828125
